class_index,question_title,question_content,title_polyglot_detect,title_lang_detect,title_langid_detect,content_polyglot_detect,content_lang_detect,content_langid_detect
10,"say, why did we attack iraq?","the downing street memo stated that saddam was not threatening his neighbours and his wmd capability was less than that of libya, north korea or iran. wouldn't have made more sense to attack one of those countries? aren't there worse dictators in africa? n n",en,so,en,en,en,en
10,anyone have a link or a scientist that has a reasonable refutation to global warming?,"i've tried this several times in the political and science sections and gotten no answer that wasn't opinion. i am looking for real information, not urban legend or personal speculation. if there is real information out there why can't anyone provide it. i can understand that natural phenonom can be a contributing factor, but the effects such as glaciers and ice melting at a record pace in synch with record man made pollution cannot be brushed off. if you have refuting evidence show it.",en,en,en,en,en,en
10,do you think that a u.s. city will be attacked by a nuclear bomb in the next 50 years?,by al qaeda or any such groups,en,en,en,en,en,en
10,republican vs democrates?,i'm for the democrates reason is their for the working man n republican's aren't for the working man only for them selves,en,ca,en,en,en,en
10,"native americans have a seperate nation but they can still vote and are citizens of us, right?",i was just wondering.,en,en,en,en,nl,en
10,why can't people get over the ports deal issue?,"the uae company withdrew their request to manage our ports three days ago. what should have been a routine congressional decision was blown way out of proportion, but it is over. it is time to let it go.",en,en,en,en,en,en
10,"is it legal to record phone conversations in calgary, alberta, canada?","is it legal to record phone conversations in calgary, alberta, canada?",en,en,en,en,en,en
10,how do i find someone in the military tha doesn't want to be found?,i'm trying to find my son i haven't seen since 1987,en,en,en,en,en,en
10,a question for all you lawyers out there?,do you have a soul?,en,not_en,en,en,pt,en
10,police left 3 kids by themself in a home with no parent?,"ok about half a year ago the police took my dad to jail for somethin he didn't do (we already got that setteld and we went to court and won) but the police knew that my mom was at work and they were going to take my dad to jail for the night. so they left 3 kids at night with no parent. ( i was 13, my brother was 14, and my sister was 7 at the time.) don't u think they should of sent us to somewhere like a relitive or something. but they just left. don't u think they should get charged with somethin. i mean u can't leave a child at home alone until they r 18 right?",en,en,en,en,en,en
10,why are we fighting the war in iraq?,i know why we're fighting this war on terror but i want to know what everyone thinks.,en,en,en,en,en,en
10,chief warrent officer ?,does it consider as officer rank or not ?and does only helicopter pilots have it ?,en,en,en,en,en,en
10,is it immoral to drive in the carpool lane w out any passenger? or just illegal?,"this is really an ethical dillemma i've been facing well, not really. when i leave work i have the option of driving 10 minutes to greet my son at home, or 30 minutes. the answer to me seems obvious. if the odds of getting caught or something like 1 in 100, then the expected cost each time i do it is around 2.81, which i can live with. but i would love to hear others' perspectives, 'cause at time i feel a bit like i am freeloading on the rest of the poor masses who obey the law.",en,en,en,en,en,en
10,who is a landlord of 14 16 putney high street?,it is now walkabout,en,en,en,en,not_en,en
10,secure borders with mexico and canada?,"all other issues aside dealing with immigration, is being in control of our borders important or not? can we be secure knowing that hundreds or maybe even thousand of people cross our borders illegally everyday. if security is an issue, what is the best way to stop illegals from crossing, and can be quickly implemented.",en,en,en,en,en,en
10,duplicate signatures are sometimes represented by a symbol. is it s ?,"when there are duplicate copies of an origninal document, and all copies need to be signed, is the s the appropriate symbol to be used on the duplicate copies? i worked for a a major in the air force and he would sign the original and put the s on the carbon copies rather that resigning the duplicate documents.",en,en,en,en,en,en
10,do the same people support nafta also support kicking the illegal mexicans back to mexico?,"i'm just wondering if the same people who support nafta are the same people who are so vigorously anti illegal immigration that they want to round up all the mexicans send them back to mexico. n ni wonder if these people realize that one of the reasons we have so many illegals from mexico crossing our border is because of a direct result of the consequences of nafta. n nagricultural prices in mexico went down because of the heavy agricultural subsidies given to u.s. farmers. trade unions in mexican urban areas lost their influence as a direct result of nafta as well. the vast majority of mexican illegals are farmers who were forced off their land by bankruptcy in response to the disproportionate agreement in favor of the u.s. and canada, leaving mexico's main exports sinking year after year. n nthe free flow of people across the u.s. mexico border was actually supposed to be a part of the 2nd phase of nafta, which was to be fully implemented by 2010. 9 11 changed that, of course ",en,en,en,en,en,en
10,"what is going on with president bush, and where is george bush planning to visit?",what does bush want to talk about this week,en,en,en,en,en,en
10,do you feel sorry for that 10 year palestinian girl?,that was hard to watch. so sad.,en,en,en,en,en,en
10,why does cheney travel with a chemical biological suit at all times?,"is there something darth cheney isn't sharing with nhis fellow repuglicans? n npurdum reports that cheney travels with a chemical biological suit at all times. when he gave his friend robin west his twin children a ride to the white house a couple of years ago, west commented on the fact that cheney's motorcade varied its daily path. and he said, 'yeah, we take different routes so that the jackal can't get me,' west tells purdum. and then there was this big duffel bag in the middle of the backseat, and i said, 'what's that? it's not very roomy in here.' and [cheney] said, 'no, because it's a chemical biological suit,' and he looked at it and said, 'robin, there's only one. you lose.' ",en,en,en,en,en,en
10,could or would this be considered an attempt at murder in the state of nc? if so how can i get legal help?,"if you or your spouce have high blood and the other spouce knows it and cut off your medical health insurance, could or would that be considered attemped murder? can a spouce or ins.co. put the other spouces name on a policy through the employed spouces work legally? if the employed spouce has the unemployed spouces name put on the policy can they then stop payment and if they do is that spouce libal for bills if they were never informed by the ins.co. or the spouce? this has been done to me in the last year and while my spouce keeps mail from me and is now divorcing me sometime between now and may or june. my spouce also wants custody of our grown children? and can agiencies and law officials be sued for aleniation of affection of a child aiding abbetting the taking and brainwashing of a child now 18. please understand a counslor said we are dealing with a sick individual in my spouce. and if you think what i've wrote is hard to follow or makes no sense, try living with them and see",en,en,en,en,en,en
10,what is the law that applies to incorrect merchandise received? (not unordered merchandise),"a buyer orders an item. the incorrect item is sent. the buyer refuses to return the incorrect item, and insists that it is considered a gift according to the law. he insists that he is also due the correct item, without having to return the incorrect item, or having to pay again.",en,en,en,en,en,en
10,do open displays of support actually do anything to encourage those currently serving in the military?,"i have always been a huge supporter of our troops here at home and overseas. i often wonder though do they only hear of the protestors but not of the support? and if they do hear of the people who do support them, is it enough to make any small contibution to thier moral? does the voice of support need to be louder to make a difference, or can it even make a difference at all? i would love to hear from those who have served as probably only you know the answer to this one.",en,en,en,en,en,en
10,don't you think it's time that we all say a big hello to all of our troups all over the world?,"i have noticed that there are about 87,000 subscribers on this site. it would be great if we all told all our soldiers that we are all proud of them and the job they are doing to keep our country safe. i know some of them didn't want to be there but it won't be forever. i know from my experience, it was the best feeling to get a letter from home and for someone to tell you they're proud of you and they appreciate you. i'm praying for the safety for you all!! thank you all for what you're doing for america and the rest of the world!! have a wonderful day!!!!",en,en,en,en,en,en
